time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443700000	0.0628359	3.65366	0	0	0	radar	1	0.0628359	3.65366	-0.0712	3.395	-0.2028	0.9792
1477010444500000	-0.446047	3.98546	-0.35462	2.31287e-17	1.21114e-17	radar	0.36324	-0.466004	4.30998	-0.3356	4.1478	-0.4399	0.898
1477010445300000	-0.616072	4.24374	-0.597443	0.0808831	0.0868537	radar	1.69429	-0.699223	4.8152	-0.7789	4.8112	-0.6494	0.7604
1477010446100000	-1.19434	4.49506	-1.59993	0.692779	0.0930146	radar	1.21049	-1.26756	4.97031	-1.3732	5.3436	-0.8181	0.575
1477010446900000	-2.47569	5.5021	-2.48171	0.317677	0.620084	radar	1.98133	-2.23502	5.65473	-2.0813	5.7114	-0.9354	0.3535
1477010447700000	-2.60083	5.99293	-0.589304	11.7025	0.553579	radar	-1.95657	-3.09726	5.91021	-2.8586	5.8916	-0.994	0.1097
1477010448500000	-2.98694	4.99896	-0.303158	1.62832	0.519193	radar	0.645201	-3.41819	5.79395	-3.6563	5.8728	-0.99	-0.1409
1477010449300000	-4.14918	6.05241	-2.7893	-0.236844	0.846562	radar	0.956425	-4.5266	6.12941	-4.4242	5.6562	-0.9239	-0.3827
1477010450100000	-5.32279	4.76314	-6.3949	1.79026	0.711352	radar	1.38344	-4.85857	5.47403	-5.1142	5.2554	-0.7997	-0.6004
1477010450900000	-7.07056	1.53701	-6.46698	-3.4796	0.0978484	radar	0.0696068	-5.62219	4.74313	-5.6828	4.6957	-0.6253	-0.7804
1477010451700000	-4.06824	9.02027	-11.1013	-7.4263	2.92651	radar	1.83652	-6.29885	4.03552	-6.0944	4.0121	-0.4115	-0.9114
1477010452500000	3.34296	20.4888	-7.30661	-3.52649	3.94059	radar	3.96965	-6.29711	3.17177	-6.323	3.2476	-0.1719	-0.9851
1477010453300000	-43.4596	11.2565	-21.9665	0.516729	80.4468	radar	11.9865	-6.18139	2.58648	-6.3543	2.4503	0.0784	-0.9969
1477010454100000	-5.39312	5.84165	-84.3398	14.1158	1666.3	radar	489.207	-5.87793	2.08779	-6.1864	1.6703	0.3239	-0.9461
1477010454900000	-6.95684	0.703669	-85.6164	-2.414	1597.35	radar	13.8229	-5.36747	0.986105	-5.8297	0.9566	0.549	-0.8358
1477010455700000	-5.77903	1.53802	-90.6178	2.31655	1610.28	radar	4.5856	-5.58171	0.330782	-5.3068	0.3539	0.7396	-0.673
1477010456500000	-5.02147	-0.416087	-91.87	-6.34553	1659.75	radar	5.35576	-4.6478	-0.180392	-4.6504	-0.0997	0.8838	-0.468
1477010457300000	-4.11265	-0.540467	-85.2066	-2.188	1718.18	radar	1.59539	-4.02051	-0.558351	-3.9018	-0.3759	0.9724	-0.2335
1477010458100000	-3.33985	0.303353	-87.6643	2.6788	1707.56	radar	2.97289	-3.11648	-0.418834	-3.108	-0.4572	0.9999	0.0157
1477010458900000	-3.0888	3.65327	-13.3552	-21.7271	166773	radar	-29.4438	-1.97297	-0.234883	-2.319	-0.3386	0.9646	0.2638
1477010459700000	-4.46635	-0.974913	-61.9173	-7.31518	55600	radar	30.9857	-1.92272	-0.0673085	-1.5843	-0.0275	0.8686	0.4954
1477010460500000	-4.62183	-0.511706	-74.3749	-5.36776	-5.5181e+08	radar	-6.15229	-0.907669	0.440014	-0.95	0.4566	0.7181	0.6959
1477010461300000	-1.06297	-5.26815	-58.6967	-21.3363	-8.62058e+08	radar	9.64652	-0.337909	0.893113	-0.456	1.0832	0.5225	0.8526
1477010462100000	-14.213	0.569141	-58.759	10.8885	-5.40114e+08	radar	333.284	-0.154874	2.2183	-0.1334	1.813	0.2941	0.9558
1477010462900000	-10.8301	5.72665	-107.92	-0.335121	-9.42185e+09	radar	1061.99	-0.043072	2.74256	-0.0024	2.6	0.0471	0.9989
1477010463700000	0.213204	10.0499	-154.04	-14.6358	9.38406e+08	radar	481.738	-0.116335	3.39991	0.0509	3.3969	0.172	0.9851
1477010464500000	-0.788228	5.45859	-126.573	39.086	1.49753e+09	radar	64.1142	0.13613	4.26643	0.2915	4.1576	0.4115	0.9114
1477010465300000	0.0623468	5.74514	-126.885	2.81408	1.45742e+09	radar	23.4675	0.638139	5.13258	0.7137	4.8347	0.6253	0.7804
1477010466100000	1.23786	5.32611	-127.967	2.96345	1.72061e+09	radar	2.58265	1.24305	5.28046	1.2911	5.3854	0.7997	0.6004
1477010466900000	1.50245	5.36294	-126.672	0.890757	1.89836e+09	radar	0.893148	1.58149	5.63758	1.9873	5.7753	0.9239	0.3827
1477010467700000	2.94356	6.61678	-68.4765	-93.2511	-3.4136e+09	radar	37.4122	2.84896	5.55212	2.7585	5.9798	0.99	0.1409
1477010468500000	2.99376	6.73011	-249.304	36.1194	6.81061e+10	radar	24.4677	3.48997	6.06865	3.5564	5.9861	0.994	-0.1098
1477010469300000	2.8568	6.68282	-264.583	-0.726201	1.10647e+11	radar	0.286627	4.06006	6.27889	4.3308	5.7937	0.9354	-0.3535
1477010470100000	4.581	5.39352	-258.733	-0.604148	-1.36174e+10	radar	9.56282	4.72838	5.34248	5.033	5.4148	0.8181	-0.575
1477010470900000	5.406	4.90407	-279.614	5.39594	1.46483e+10	radar	-0.571395	5.34221	4.71011	5.6189	4.8732	0.6494	-0.7604
1477010471700000	6.02623	4.54745	-261.249	-1.88334	-2.66257e+09	radar	3.78689	6.32488	4.67972	6.0517	4.2029	0.4399	-0.898
1477010472500000	5.9469	4.05705	-43.9973	2.20928	-5.59361e+08	radar	2.6753	6.72464	3.64232	6.3042	3.446	0.2028	-0.9792
1477010473300000	6.86006	2.80225	-22.446	-0.731673	-3.86903e+08	radar	3.98072	6.87323	2.67299	6.3606	2.6501	-0.0471	-0.9989
1477010474100000	6.96121	2.22744	-25.9552	5.59396	-1.79948e+08	radar	11.7961	6.3314	1.85838	6.2172	1.8651	-0.2941	-0.9558
1477010474900000	6.72615	2.05556	-73.9652	9.19907	-6.11004e+07	radar	16.1482	5.83031	1.16366	5.8832	1.1405	-0.5225	-0.8526
1477010475700000	6.03149	1.96372	-202.277	5.93856	-5.9696e+06	radar	24.33	5.43554	0.605835	5.3794	0.5218	-0.7181	-0.6959
1477010476500000	-nan	-nan	-nan	-nan	-nan	radar	-nan	4.88713	0.149104	4.7376	0.0477	-0.8686	-0.4955
