time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.734613	0.628749	7.22131	3.67361e-19	-1.32175e-17	radar	74.2445	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16259	0.49391	7.22519	-0.079626	-0.00653561	lidar	2.25797	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26262	0.546421	7.0712	-0.0313295	-0.00960201	radar	2.67069	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.62475	0.572068	7.05847	0.0385345	0.0142632	lidar	1.10644	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8631	0.56024	5.95838	-0.0179249	-0.18106	radar	6.52126	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17022	0.578645	5.94453	-0.000168315	-0.142727	lidar	1.63117	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38423	0.63597	5.51221	0.0501754	-0.158234	radar	5.62557	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65734	0.652552	5.50861	0.047304	-0.143187	lidar	0.0589266	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92216	0.652682	5.44082	0.0223115	-0.21777	radar	0.23764	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15497	0.653162	5.3952	0.0161039	-0.203939	lidar	7.05335	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44014	0.558655	5.42659	-0.111008	-0.557929	radar	1.71276	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74424	0.455474	5.50397	-0.221076	-0.786733	lidar	14.0606	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02271	0.527507	5.50517	-0.11043	-0.386196	radar	3.37222	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29614	0.521914	5.49127	-0.103679	-0.323717	lidar	1.03646	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55346	0.561782	5.37268	-0.0601665	-0.193502	radar	1.56359	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73612	0.673349	5.18401	0.0437735	0.0437698	lidar	70.7176	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98699	0.672871	5.0857	0.0354563	0.0235282	radar	1.35259	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28673	0.665849	5.16093	0.0218104	-0.00434361	lidar	20.9132	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54664	0.672281	5.25083	0.0237673	0.000457889	radar	1.84167	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84246	0.68522	5.30349	0.0269976	0.00560266	lidar	12.8524	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08347	0.613428	5.16987	-0.0267554	-0.083815	radar	3.66107	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33627	0.724429	5.15191	0.0465847	0.0382329	lidar	15.191	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58583	0.75691	5.10558	0.0612928	0.0575383	radar	0.311535	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83167	0.753678	5.09275	0.0527859	0.0407451	lidar	1.47684	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
