time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.964219	1.79212	3.69782e-17	-7.18744e-17	1.01112e-17	radar	73.9473	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.92844	3.58423	5.47353e-17	-4.21755e-17	1.56125e-17	lidar	1	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	3.58424	6.66173	8.48298e-17	4.63759e-17	1.6795e-17	radar	22.6816	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	7.16847	13.3235	8.35272e-17	9.10188e-17	1.9082e-17	lidar	1	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	12.1127	22.513	1.17628e-16	8.55378e-17	9.71258e-17	radar	11.3372	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	24.2255	45.0259	-1.12234e-16	1.74773e-16	1.56125e-16	lidar	1	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	22.0489	40.9806	-1.87791e-16	2.00945e-16	6.86042e-16	radar	5.54682	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	44.0979	81.9611	-7.66821e-16	1.81441e-16	1.24206e-15	lidar	1	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	48.2625	89.7016	-5.97886e-16	1.42665e-16	1.12088e-15	radar	3.24343	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	96.5251	179.403	-5.8537e-16	5.82217e-17	2.27596e-15	lidar	1	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	111.488	207.213	-5.32534e-17	7.58476e-17	2.46662e-15	radar	2.90201	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	222.976	414.427	-2.23981e-16	2.87314e-18	3.60996e-15	lidar	1	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	255.034	474.011	-2.07795e-15	1.78013e-16	4.51528e-15	radar	2.93771	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	510.068	948.022	-3.35781e-15	5.15159e-16	6.07153e-15	lidar	1	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	591.444	1099.27	-2.31219e-15	5.37575e-16	9.87195e-15	radar	2.96178	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
